Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-04,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-05,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-06,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-07,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-08,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-11,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-12,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-13,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-14,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-15,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-18,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-19,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-20,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-21,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
2015-05-22,6000.0,,,0.0,,,0.0,0.0,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
